"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-09-09","1501.86","1511.93","1495.11","1508.2","0.00","2563415186"
"NEPSE","2020-09-08","1491.33","1500.15","1477.25","1495.15","0.00","1798363063"
"NEPSE","2020-09-07","1503.37","1503.37","1483.65","1487.81","0.00","2164930214"
"NEPSE","2020-09-06","1538.42","1538.42","1494.97","1499.97","0.00","2782377887"
"NEPSE","2020-09-03","1524.19","1524.67","1497.47","1510.42","0.00","2634886231"
"NEPSE","2020-09-02","1509.4","1519.78","1499.72","1510.57","0.00","4181036115"
"NEPSE","2020-08-31","1466.57","1489.01","1466.57","1484.99","0.00","3462586125"
"NEPSE","2020-08-30","1459.16","1462.67","1444.92","1462.67","0.00","1614554300"
"NEPSE","2020-08-27","1467.07","1472.73","1454.96","1458.04","0.00","1981761050"
"NEPSE","2020-08-26","1445.47","1468.03","1445.47","1462.03","0.00","2656163730"
"NEPSE","2020-08-25","1435.21","1440.94","1428.74","1440.94","0.00","1855180510"
"NEPSE","2020-08-24","1413.09","1431.6","1413.09","1431.6","0.00","2139202075"
"NEPSE","2020-08-23","1399.48","1410.34","1394.09","1410.34","0.00","1108053597"
"NEPSE","2020-08-20","1392.89","1403.75","1392.89","1397.57","0.00","393129068"
"NEPSE","2020-08-19","1409.44","1409.44","1388.17","1391.29","0.00","976235059"
"NEPSE","2020-08-18","1403.98","1414.29","1400.81","1407.89","0.00","1239017426"
"NEPSE","2020-08-17","1391.79","1402.21","1385.7","1402.21","0.00","1074932597"
"NEPSE","2020-08-16","1407.85","1407.85","1381.89","1391.46","0.00","1259320850"
"NEPSE","2020-08-13","1431.89","1431.89","1407.43","1408.79","0.00","1048911791"
"NEPSE","2020-08-12","1426.55","1427.15","1413.55","1425.32","0.00","951960208"
"NEPSE","2020-08-11","1433.35","1441.31","1421.17","1423.81","0.00","1271738914"
"NEPSE","2020-08-10","1394.78","1430.41","1394.34","1430.41","0.00","1555518923"
"NEPSE","2020-08-09","1383.98","1392.68","1363.22","1392.68","0.00","977895525"
"NEPSE","2020-08-06","1387.44","1388.68","1365.66","1381.37","0.00","920997056"
"NEPSE","2020-08-05","1403.88","1403.88","1374.13","1382.66","0.00","1189526408"
"NEPSE","2020-08-03","1395.08","1411.13","1384.86","1403.86","0.00","1290252213"
"NEPSE","2020-08-02","1441.26","1441.26","1396.02","1396.28","0.00","1841242332"
"NEPSE","2020-07-30","1433.14","1444.06","1421.07","1439.06","0.00","1320266678"
"NEPSE","2020-07-29","1452.07","1452.07","1431.46","1431.52","0.00","1687093091"
"NEPSE","2020-07-28","1463.81","1466.04","1449.86","1454.89","0.00","1259751557"
"NEPSE","2020-07-27","1467.89","1475.2","1456.47","1462.48","0.00","1793915286"
"NEPSE","2020-07-26","1445.6","1464.88","1444.77","1465.1","0.00","1942679380"
"NEPSE","2020-07-23","1434.08","1440.32","1417.32","1442.61","0.00","1327135218"
"NEPSE","2020-07-22","1452.78","1461.29","1429.65","1432.44","0.00","1532511716"
"NEPSE","2020-07-21","1472.19","1479.3","1444.5","1449.94","0.00","1872220447"
"NEPSE","2020-07-20","1539.37","1556.19","1460.15","1464.94","0.00","2802233715"
"NEPSE","2020-07-19","1408.51","1479.03","1408.51","1479.03","0.00","62566293"
